"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","0","|","0","1","correct_programs.LIS_TEST.test_0 []","1","true","true","true","3364100","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","2","correct_programs.LIS_TEST.test_1 []","1","true","true","true","423200","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","3","correct_programs.LIS_TEST.test_2 []","1","true","true","true","475900","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","4","correct_programs.LIS_TEST.test_3 []","1","true","true","true","328400","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","5","correct_programs.LIS_TEST.test_4 []","1","true","true","true","376100","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","6","correct_programs.LIS_TEST.test_5 []","1","true","true","true","523700","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","7","correct_programs.LIS_TEST.test_6 []","1","true","true","true","495800","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","8","correct_programs.LIS_TEST.test_7 []","1","true","true","true","952500","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","9","correct_programs.LIS_TEST.test_8 []","1","true","true","true","468400","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","10","correct_programs.LIS_TEST.test_9 []","1","true","true","true","531900","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","11","correct_programs.LIS_TEST.test_10 []","1","true","true","true","656900","0","false","N/A","N/A","N/A","N/A","true",""
"1","0","|","0","12","correct_programs.LIS_TEST.test_11 []","1","true","true","true","538200","0","false","N/A","N/A","N/A","N/A","true",""
